0.000000	0.000000	0.000000
0.100000	0.019967	0.398667
0.200000	0.079468	0.789365
0.300000	0.177312	1.164242
0.400000	0.311534	1.515685
0.500000	0.479425	1.836433
0.600000	0.677570	2.119687
0.700000	0.901903	2.359213
0.800000	1.147767	2.549442
0.900000	1.409985	2.685551
1.000000	1.682938	2.763546
1.100000	1.960652	2.780326
1.200000	2.236889	2.733737
1.300000	2.505246	2.622614
1.400000	2.759253	2.446809
1.500000	2.992479	2.207204
1.600000	3.198629	1.905712
1.700000	3.371654	1.545263
1.800000	3.505845	1.129773
1.900000	3.595934	0.664106
2.000000	3.637183	0.154015
