0.000000	0.000000	-1.000000	0.000000
0.100000	-0.102828	-1.087113	-1.818853
0.200000	-0.224271	-1.380854	-4.151242
0.300000	-0.387744	-1.938079	-7.104958
0.400000	-0.622860	-2.825413	-10.763422
0.500000	-0.966232	-4.115360	-15.154217
0.600000	-1.461718	-5.878455	-20.200437
0.700000	-2.159584	-8.169442	-25.648737
0.800000	-3.113894	-11.004786	-30.966686
0.900000	-4.377066	-14.328044	-35.200951
1.000000	-5.990182	-17.958704	-36.787232
1.100000	-7.967141	-21.519248	-33.303241
1.200000	-10.270182	-24.334370	-21.158172
1.300000	-12.773656	-25.295860	4.783020
1.400000	-15.212318	-22.686919	51.632905
1.500000	-17.109802	-13.961137	128.949227
1.600000	-17.682656	4.525151	249.189000
1.700000	-15.715451	37.821912	428.063987
1.800000	-9.403532	92.719579	684.658570
1.900000	3.837593	178.074584	1041.095476
2.000000	27.592641	305.066173	1521.431988
